tic_id,gaia_id,separation_arcsec,tmag,delta_tmag,flux_ratio_to_target,eclipse_fraction_needed_tfop,delta_tmag_tfop,eclipse_fraction_needed_simple,valid_measurement_fraction,night_robust_scatter_ppt,night_standard_deviation_ppt,maximum_absolute_deviation_ppt,points_beyond_five_robust_sigma,observed_phase_min,observed_phase_max,historical_schedule_timezone,historical_window_points,outside_window_points,historical_window_depth_ppt,historical_window_depth_error_ppt,historical_window_three_sigma_upper_ppt,post_egress_minus_pre_ingress_ppt,eclipse_shape_consistent,required_eclipse_depth_ppt_tfop,required_eclipse_depth_ppt_simple,target_aperture_overlap,sufficient_schedule_window_measurements,predicted_transit_covered,transit_relevant_clearance,transit_relevant_clearance_uncorrected,disposition,interpretation
1845606912,1824561382199064064.0000000000,7.0156341666,17.6657000000,6.7285000000,0.0020351668,0.9021795716,6.2285000000,1.4298582614,1.0000000000,281.3871830602,288.7642591556,844.3779299471,0,0.2490448065,0.3207177306,America/New_York,90,173,88.2087124447,37.7560686156,201.4769182915,171.3930909492,False,902.1795716215,1429.8582614404,True,True,True,False,False,not cleared - blended with the target aperture,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
1845606419,1824561176040633088.0000000000,7.3229926004,17.7327000000,6.7955000000,0.0019133746,0.9596060756,6.2955000000,1.5208731367,1.0000000000,189.4568694445,221.3388699448,1306.0224768090,1,0.2490448065,0.3207177306,America/New_York,90,173,82.2317018949,22.8398709592,150.7513147726,-26.4809262812,True,959.6060756263,1520.8731367045,True,True,True,False,False,not cleared - blended with the target aperture,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988375,1824561377897561088.0000000000,8.4252241340,16.9521000000,6.0149000000,0.0039268110,0.4675768372,5.5149000000,0.7410593463,1.0000000000,348.3376260564,424.4506988501,2319.4706066502,2,0.2490448065,0.3207177306,America/New_York,90,173,228.1681964489,44.7215881561,362.3329609172,196.0661032275,False,467.5768372252,741.0593462708,True,True,True,False,False,not cleared - blended with the target aperture,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988378,1824561377892708864.0000000000,11.9857095289,14.9568000000,4.0196000000,0.0246694803,0.0744274242,3.5196000000,0.1179595179,0.9822064057,242.6322146389,1075.5610308899,9993.5368220441,14,0.2490448065,0.3207177306,America/New_York,90,173,-189.4162889673,30.1478448920,-98.9727542913,-95.0053451774,False,74.4274241810,117.9595179169,True,True,True,False,False,not cleared - blended with the target aperture,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
1845606884,1824561382198602240.0000000000,15.1712692543,17.5434000000,6.6062000000,0.0022778231,0.8060704286,6.1062000000,1.2775355350,1.0000000000,80.4021830594,116.8893903038,571.4772219251,5,0.2490448065,0.3207177306,America/New_York,90,173,-31.9902884339,10.8295315430,0.4983061950,-16.1032576255,False,806.0704286268,1277.5355349749,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988357,1824561377892702720.0000000000,15.4223995346,17.3108000000,6.3736000000,0.0028220194,0.6506283590,5.8736000000,1.0311764570,0.6761565836,564.4974429473,778.7156520626,4367.4456978814,2,0.2490448065,0.3207177306,America/New_York,63,121,89.1855730793,82.6989139372,337.2823148910,-33.3917963240,True,650.6283589891,1031.1764569840,False,False,True,False,False,not cleared - flux too low,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988347,1824561377892708608.0000000000,17.7001883052,14.1089000000,3.1717000000,0.0538666541,0.0340857606,2.6717000000,0.0540222899,1.0000000000,81.5735689852,97.4232480533,505.3677806152,2,0.2490448065,0.3207177306,America/New_York,90,173,-59.1975246512,9.3405874075,-31.1757624289,8.1800594962,True,34.0857605658,54.0222898806,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
1845606870,1824561377892687104.0000000000,19.1527201473,17.4376000000,6.5004000000,0.0025109612,0.7312282964,6.0004000000,1.1589187491,0.0071174377,340.6393529436,324.9270152508,229.7580958745,0,0.2490448065,0.3207177306,America/New_York,1,1,,,,,False,731.2282964111,1158.9187491168,False,False,True,False,False,not cleared - flux too low,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988410,1824561176081216512.0000000000,19.9866091504,16.6888000000,5.7516000000,0.0050044920,0.3668875621,5.2516000000,0.5814775996,0.4199288256,878.9339432120,6874.7888620454,73559.1032636001,1,0.2490448065,0.3207177306,America/New_York,35,81,22.9974766533,183.1085053929,572.3229928322,-94.3901384534,False,366.8875621428,581.4775996387,False,False,True,False,False,not cleared - flux too low,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988435,1824561171761118464.0000000000,20.6216765528,16.6913000000,5.7541000000,0.0049929820,0.3677333253,5.2541000000,0.5828180439,0.9323843416,317.5467942415,330.7436590547,1109.3705881957,0,0.2490448065,0.3207177306,America/New_York,86,163,42.1564672588,40.3683453433,163.2615032889,92.9804029136,False,367.7333253213,582.8180439428,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988436,1824561176040155392.0000000000,24.0220776229,15.6386000000,4.7014000000,0.0131655801,0.1394610687,4.2014000000,0.2210308984,0.9964412811,159.4742831693,180.8524346584,654.0516070819,0,0.2490448065,0.3207177306,America/New_York,90,173,-94.8981382021,20.0476649955,-34.7551432156,16.1682924861,True,139.4610687241,221.0308984342,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988374,1824562649203014400.0000000000,24.6033067395,15.9991000000,5.0619000000,0.0094458273,0.1943806316,4.5619000000,0.3080725398,0.9252669039,344.0449753244,478.8991295781,2610.8105810030,3,0.2490448065,0.3207177306,America/New_York,88,165,-108.3972417112,44.6578746063,25.5763821077,-43.5795879896,True,194.3806316194,308.0725397998,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988358,1824561382239665664.0000000000,26.6122722117,15.3027000000,4.3655000000,0.0179390731,0.1023512118,3.8655000000,0.1622157388,1.0000000000,119.3946697595,171.0333758033,929.5883719652,4,0.2490448065,0.3207177306,America/New_York,90,173,-48.3251175492,14.3973655138,-5.1330210079,-7.8702301022,True,102.3512118172,162.2157388492,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988400,1824561377892682240.0000000000,26.9022518958,16.7168000000,5.7796000000,0.0048770814,0.3764722668,5.2796000000,0.5966683328,0.0960854093,440.4747709966,1290.0428203134,3519.2909711121,4,0.2490448065,0.3207177306,America/New_York,7,14,,,,,False,376.4722668011,596.6683328034,False,False,True,False,False,not cleared - flux too low,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
1845606892,1824561382198630400.0000000000,27.3313411884,17.5445000000,6.6073000000,0.0022755166,0.8068875026,6.1073000000,1.2788305099,1.0000000000,99.9993612483,153.2216832504,790.7206668611,5,0.2490448065,0.3207177306,America/New_York,90,173,-39.4571450239,14.3530983393,3.6021499941,-8.0717433371,True,806.8875025923,1278.8305099405,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
1845606942,1824561382239660544.0000000000,28.4944014325,16.5280000000,5.5908000000,0.0058033665,0.3163828901,5.0908000000,0.5014330888,0.5907473310,723.5372035365,873.5707859551,3695.9188288659,1,0.2490448065,0.3207177306,America/New_York,56,100,-164.6922063840,113.2522025266,175.0644011957,273.2251553681,False,316.3828901377,501.4330887905,False,False,True,False,False,not cleared - flux too low,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988325,1824561382239665152.0000000000,28.9193618210,15.1972000000,4.2600000000,0.0197696964,0.0928737516,3.7600000000,0.1471949766,0.9964412811,121.7828119311,157.0282629547,629.9852361973,2,0.2490448065,0.3207177306,America/New_York,90,173,-57.5684478113,15.4845310735,-11.1148545907,-57.2004062234,False,92.8737515834,147.1949766429,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988333,1824561377892729600.0000000000,29.1297031431,17.4830000000,6.5458000000,0.0024081304,0.7624528445,6.0458000000,1.2084063228,0.0818505338,938.0075336506,1335.3844212783,3619.5421970329,0,0.2490448065,0.3207177306,America/New_York,6,14,,,,,False,762.4528444865,1208.4063227992,False,False,True,False,False,not cleared - flux too low,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988426,1824561171761230848.0000000000,29.2089515948,16.9634000000,6.0262000000,0.0038861539,0.4724686415,5.5262000000,0.7488123336,0.9679715302,298.6389073299,377.4844313471,3678.2555448551,1,0.2490448065,0.3207177306,America/New_York,90,170,-50.7600471537,38.8527325783,65.7981505812,-21.9020782894,True,472.4686415044,748.8123335716,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988448,1824561176081224192.0000000000,31.4980095486,16.4960000000,5.5588000000,0.0059769552,0.3071941839,5.0588000000,0.4868699709,0.9679715302,417.2427942844,478.1188718583,1987.0540135531,0,0.2490448065,0.3207177306,America/New_York,90,167,-22.0264758259,55.6657210400,144.9706872942,124.5146439755,False,307.1941839251,486.8699708665,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988407,1824561171734246400.0000000000,32.0347704523,17.1646000000,6.2274000000,0.0032287915,0.5686604037,5.7274000000,0.9012660026,0.3701067616,721.5140193451,1236.6518383608,6803.6243042329,3,0.2490448065,0.3207177306,America/New_York,32,59,-254.8620435230,182.6638457208,293.1294936393,367.3913207962,False,568.6604036598,901.2660025827,False,False,True,False,False,not cleared - flux too low,"not cleared because of aperture overlap, incomplete/noisy measurements, or an insufficient depth limit"
390988312,1824561382239666176.0000000000,33.3310326175,15.7605000000,4.8233000000,0.0117673860,0.1560317534,4.3233000000,0.2472936638,1.0000000000,196.0452191206,237.9772841456,1969.3510970345,1,0.2490448065,0.3207177306,America/New_York,90,173,-107.6303467310,22.7092671622,-39.5025452442,63.9509074403,False,156.0317534355,247.2936638277,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988462,1824561171761065984.0000000000,35.1444888037,16.6701000000,5.7329000000,0.0050914326,0.3606226405,5.2329000000,0.5715483680,0.9857651246,339.8590654871,519.5949546459,5885.7342506819,1,0.2490448065,0.3207177306,America/New_York,89,170,106.9262089850,44.1112928266,239.2600874650,0.0956623206,True,360.6226405005,571.5483679766,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
390988315,1824562855388388352.0000000000,35.2010284117,16.7519000000,5.8147000000,0.0047219350,0.3888418395,5.3147000000,0.6162727844,0.8398576512,563.0095479117,572.3450330862,2183.0177760262,0,0.2490448065,0.3207177306,America/New_York,82,143,-110.4937394497,84.8214096456,143.9704894870,7.8216559845,True,388.8418394993,616.2727843666,False,True,True,True,True,cleared,inconsistent with the required eclipse at the three-sigma screening level
